report_date,announce_date,ticker,pe,pb,roe
2023-12-31,2024-02-19,000001,-12.5,3.79,10.65
2024-03-31,2024-06-20,000001,27.52,4.65,10.13
2024-06-30,2024-09-03,000001,50.47,7.32,27.62
2024-09-30,2024-11-18,000001,29.32,5.79,24.34
2023-12-31,2024-03-06,600000,35.96,5.75,21.24
2024-03-31,2024-05-14,600000,46.04,2.06,12.44
2024-06-30,2024-09-11,600000,37.35,0.52,24.96
2024-09-30,2024-12-03,600000,12.1,6.62,20.1
2023-12-31,2024-03-09,AAPL,46.71,3.44,24.9
2024-03-31,2024-06-27,AAPL,36.38,0.5,17.57
2024-06-30,2024-08-25,AAPL,44.5,4.75,12.38
2024-09-30,2024-11-26,AAPL,42.48,2.59,28.57
2023-12-31,2024-03-22,510300,43.9,7.91,28.99
2024-03-31,2024-05-28,510300,46.55,5.07,1.03
2024-06-30,2024-09-27,510300,34.88,6.24,13.23
2024-09-30,2024-12-08,510300,11.03,3.36,
2023-12-31,2024-03-26,000333,28.78,1.31,0.37
2024-03-31,2024-05-24,000333,31.64,0.87,-4.42
2024-06-30,2024-09-22,000333,31.04,1.73,19.68
2024-09-30,2024-11-18,000333,17.56,4.94,0.41
